,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
38,U001,200769623,WAL-MAR trust,36:11.5,2020,1930862467,5/7/2020 0:00,00:00.0,5/8/2020 0:00,NAH4,56284.77,0-15
39,U001,200769623,WAL-MAR systems,37:47.3,2020,1930582162,5/8/2020 0:00,00:00.0,5/9/2020 0:00,NAH4,50493.86,0-15
40,U001,200769623,WAL-MAR llc,42:32.5,2020,1930802490,5/9/2020 0:00,00:00.0,5/10/2020 0:00,NAH4,15489.43,0-15
41,CA02,140104423,METRO  llc,14:58.9,2020,2960617050,5/10/2020 0:00,00:00.0,5/11/2020 0:00,CA10,93179.352,0-15
42,U001,200726979,BJ'S  systems,24:01.2,2020,1930801417,5/11/2020 0:00,00:00.0,5/12/2020 0:00,NAA8,360.33,0-15
43,U001,200743996,STATER  llc,53:03.5,2020,1930660304,5/12/2020 0:00,00:00.0,5/13/2020 0:00,NAGD,3826.03,0-15
44,U001,200752302,KROGER trust,09:15.7,2020,1930733767,5/13/2020 0:00,00:00.0,5/14/2020 0:00,NAA8,96674.05,0-15
45,CA02,140105686,SYSC llc,45:15.1,2020,2960633120,5/14/2020 0:00,00:00.0,5/15/2020 0:00,CA10,43230.299,0-15
46,U001,200711029,WEGMAN corp,22:46.1,2020,1930742932,5/15/2020 0:00,00:00.0,5/16/2020 0:00,NAA8,14382.22,0-15
47,CA02,CCU001,KRAFT  corporation,55:47.1,2020,2960622220,5/16/2020 0:00,00:00.0,5/17/2020 0:00,NAG2,17828.069,0-15
48,U001,200769623,WAL-MAR llc,22:25.3,2020,1930804924,5/17/2020 0:00,00:00.0,5/18/2020 0:00,NAH4,35509.95,0-15
49,U001,200769623,WAL-MAR associates,19:31.8,2020,1930746955,5/18/2020 0:00,00:00.0,5/19/2020 0:00,NAH4,13512.61,0-15
50,U001,200772670,ASSOCIAT corp,25:22.6,2020,1930698156,5/19/2020 0:00,00:00.0,5/20/2020 0:00,NAU5,24421.33,0-15
51,U001,200769623,WAL-MAR co,24:11.8,2020,1930801200,5/20/2020 0:00,00:00.0,5/21/2020 0:00,NAH4,11217.33,0-15
52,U001,200769623,WAL-MAR systems,52:20.1,2020,1930776682,5/21/2020 0:00,00:00.0,5/22/2020 0:00,NAH4,12554.13,0-15
53,U001,200720238,WOODM co,19:45.5,2020,1930858727,5/22/2020 0:00,00:00.0,5/23/2020 0:00,NAA8,126919.03,0-15
54,CA02,140106408,WAL-M in,17:49.6,2020,2960631200,5/23/2020 0:00,00:00.0,5/24/2020 0:00,CA10,28537.684,16-30
55,U001,200769623,WAL-MAR co,32:16.1,2020,1930729999,5/24/2020 0:00,00:00.0,5/25/2020 0:00,NAH4,24834.9,0-15
56,U001,200769623,WAL-MAR us,40:38.1,2020,1930653060,5/25/2020 0:00,00:00.0,5/26/2020 0:00,NAH4,50202.83,0-15
57,U001,200769623,WAL-MAR us,28:42.1,2020,1930715979,5/26/2020 0:00,00:00.0,5/27/2020 0:00,NAH4,8299.7,0-15
58,U001,200799367,MCL corporation,38:30.3,2020,1930673430,5/27/2020 0:00,00:00.0,5/28/2020 0:00,NAA8,51602.13,0-15
59,U001,200759878,SA co,08:20.0,2020,1930783249,5/28/2020 0:00,00:00.0,5/29/2020 0:00,NAH4,18900.99,0-15
60,U001,200794332,COST corp,29:08.7,2020,1930638145,5/29/2020 0:00,00:00.0,5/30/2020 0:00,NAAX,49467.7,0-15
61,U001,200515231,US  us,29:27.0,2020,1930768145,5/30/2020 0:00,00:00.0,5/31/2020 0:00,NAA8,10187.66,0-15
62,U001,200782669,SYGMA corp,25:55.2,2020,1930636977,5/31/2020 0:00,00:00.0,6/1/2020 0:00,NAA8,237.4,0-15
63,U001,200769623,WAL-MAR foundation,52:45.1,2020,1930882979,6/1/2020 0:00,00:00.0,6/2/2020 0:00,NAH4,11532.84,0-15
64,U001,200769623,WAL-MAR ,15:54.4,2020,1930692833,6/2/2020 0:00,00:00.0,6/3/2020 0:00,NAH4,20017.92,0-15
65,U001,200331749,SYSC foundation,50:32.1,2020,1930579080,6/3/2020 0:00,00:00.0,6/4/2020 0:00,NAA8,5320.85,0-15
66,U001,200772670,ASSOCIAT associates,25:22.6,2020,1930819529,6/4/2020 0:00,00:00.0,6/5/2020 0:00,NAU5,30900.83,0-15
67,U001,200772670,ASSOCIAT us,15:29.2,2020,1930736164,6/5/2020 0:00,00:00.0,6/6/2020 0:00,NAU5,65843.26,0-15
68,U001,200706844,WINC foundation,43:16.9,2020,1930599854,6/6/2020 0:00,00:00.0,6/7/2020 0:00,NAA8,359.44,0-15
69,U001,100043975,JAVA ,52:00.3,2020,1930740345,6/7/2020 0:00,00:00.0,6/8/2020 0:00,NAA8,1427.36,0-15
70,U001,200762301,C&S WH in,56:52.0,2020,1930592552,6/8/2020 0:00,00:00.0,6/9/2020 0:00,NAC6,99091.71,0-15
71,U001,200148860,DOLLA associates,44:18.8,2020,1930732920,6/9/2020 0:00,00:00.0,6/10/2020 0:00,NAGD,6543.44,
72,CA02,100027744,OMEGA AD in,43:29.5,2020,2960635652,6/10/2020 0:00,00:00.0,6/11/2020 0:00,CAB1,4924.5,0-15
73,U001,100031704,DELHAIZE co,12:14.9,2020,1930585468,6/11/2020 0:00,00:00.0,6/12/2020 0:00,NAA8,106394.18,0-15
74,U001,200799420,HT HA foundation,31:37.0,2020,1930703225,6/12/2020 0:00,00:00.0,6/13/2020 0:00,NAA8,801.1,0-15
75,U001,200974851,RESTA systems,14:19.6,2020,1930706997,6/13/2020 0:00,00:00.0,6/14/2020 0:00,NAA8,3566.69,0-15
76,U001,200769623,WAL-MAR in,38:17.9,2020,1930830709,6/14/2020 0:00,00:00.0,6/15/2020 0:00,NAH4,8885.57,0-15
77,U001,200793568,SUPE llc,51:03.1,2020,1930630388,6/15/2020 0:00,00:00.0,6/16/2020 0:00,NAA8,15893.27,0-15
78,U001,200759878,SA foundation,45:26.9,2020,1930609945,6/16/2020 0:00,00:00.0,6/17/2020 0:00,NAH4,70180.8,0-15
79,U001,200712187,SPAR in,52:19.1,2020,1930806222,6/17/2020 0:00,00:00.0,6/18/2020 0:00,NAA8,119384.36,0-15
80,U001,100047532,KEYSTON associates,33:40.1,2020,1930592834,6/18/2020 0:00,00:00.0,6/19/2020 0:00,NAA8,11852.54,0-15
81,U001,200794332,COST co,39:50.8,2020,1930562584,6/19/2020 0:00,00:00.0,6/20/2020 0:00,NA84,11225.42,0-15
82,U001,200148860,DOLLA associates,33:56.5,2020,1930699340,6/20/2020 0:00,00:00.0,6/21/2020 0:00,NAGD,5456.75,
83,U001,200794332,COST llc,54:39.9,2020,1930862420,6/21/2020 0:00,00:00.0,6/22/2020 0:00,NAAX,81500.86,0-15
84,U001,200555117,BURR trust,15:14.2,2020,1930709963,6/22/2020 0:00,00:00.0,6/23/2020 0:00,NAA8,749.14,0-15
85,U001,200769623,WAL-MAR in,36:17.4,2020,1930878284,6/23/2020 0:00,00:00.0,6/24/2020 0:00,NAH4,2219.89,0-15
86,U001,200772670,ASSOCIAT corp,32:50.3,2020,1930683241,6/24/2020 0:00,00:00.0,6/25/2020 0:00,NAU5,15489.78,0-15
87,U001,200707822,PUBLI corporation,18:22.7,2020,1930857983,6/25/2020 0:00,00:00.0,6/26/2020 0:00,NAA8,126107.91,0-15
88,CA02,140104392,FLANAG us,00:23.1,2020,2960619205,6/26/2020 0:00,00:00.0,6/27/2020 0:00,CA10,2528.673,0-15
89,U001,200769623,WAL-MAR corp,05:55.7,2020,1930831780,6/27/2020 0:00,00:00.0,6/28/2020 0:00,NAH4,11545.38,0-15
90,U001,200759878,SA systems,01:35.8,2020,1930717567,6/28/2020 0:00,00:00.0,6/29/2020 0:00,NAH4,47646.57,0-15
91,U001,200705742,DOT foundation,21:31.7,2020,1930581678,6/29/2020 0:00,00:00.0,6/30/2020 0:00,NAA8,5932.51,
92,U001,200793568,SUPE trust,58:40.6,2020,1930690537,6/30/2020 0:00,00:00.0,7/1/2020 0:00,NAA8,1635.76,0-15
93,U001,200726979,BJ'S  ,33:33.5,2020,1930646128,7/1/2020 0:00,00:00.0,7/2/2020 0:00,NAA8,1286.3,0-15
94,U001,200704858,WAKE corp,28:05.2,2020,1930762384,7/2/2020 0:00,00:00.0,7/3/2020 0:00,NAA8,99568.42,0-15
95,U001,200780383,MEIJ in,55:03.5,2020,1930665025,7/3/2020 0:00,00:00.0,7/4/2020 0:00,NAA8,3612.63,0-15
96,U001,200762301,C&S WH associates,11:47.0,2020,1930778021,7/4/2020 0:00,00:00.0,7/5/2020 0:00,NAC6,102276.04,0-15
97,CA02,140106271,LONGO  in,06:53.5,2020,2960626604,7/5/2020 0:00,00:00.0,7/6/2020 0:00,CA10,8615.453,0-15
98,CA02,140104423,METRO  us,07:00.1,2020,2960628851,7/6/2020 0:00,00:00.0,7/7/2020 0:00,CA10,45059.546,0-15
99,U001,200741174,M B  co,58:14.6,2020,1930657267,7/7/2020 0:00,00:00.0,7/8/2020 0:00,NAA8,5767.83,0-15
100,CA02,100030194,AMAZO llc,30:33.0,2020,2960622411,7/8/2020 0:00,00:00.0,7/9/2020 0:00,CA10,9851.667,0-15
101,U001,200769623,WAL-MAR trust,59:53.0,2020,1930720012,7/9/2020 0:00,00:00.0,7/10/2020 0:00,NAH4,42379.83,0-15
102,U001,200592182,DECA in,15:01.0,2020,1930822583,7/10/2020 0:00,00:00.0,7/11/2020 0:00,NAM4,1761.84,
103,U001,200743996,STATER  co,33:04.8,2020,1930686889,7/11/2020 0:00,00:00.0,7/12/2020 0:00,NAA8,94612.03,0-15
104,U001,200769623,WAL-MAR in,38:59.7,2020,1930787980,7/12/2020 0:00,00:00.0,7/13/2020 0:00,NAH4,22226.35,0-15
105,U001,200749782,KROG associates,23:42.1,2020,1930822131,7/13/2020 0:00,00:00.0,7/14/2020 0:00,NAA8,88502.01,0-15
106,U001,200744019,TARG corp,42:49.9,2020,1930641073,7/14/2020 0:00,00:00.0,7/15/2020 0:00,NAGD,1982.06,0-15
107,U001,200769623,WAL-MAR foundation,56:38.6,2020,1930804577,7/15/2020 0:00,00:00.0,7/16/2020 0:00,NAH4,2326.08,0-15
108,U001,200705742,DOT us,51:17.9,2020,1930592413,7/16/2020 0:00,00:00.0,7/17/2020 0:00,NAA8,9822.38,
109,U001,200744019,TARG trust,12:41.2,2020,1930857489,7/17/2020 0:00,00:00.0,7/18/2020 0:00,NAA8,29592.42,0-15
110,U001,200772670,ASSOCIAT associates,31:44.7,2020,1930739252,7/18/2020 0:00,00:00.0,7/19/2020 0:00,NAU5,47903.76,0-15
111,U001,200769623,WAL-MAR corporation,07:51.3,2020,1930692953,7/19/2020 0:00,00:00.0,7/20/2020 0:00,NAH4,1898.9,0-15
112,U001,200900909,SYSCO in,54:09.7,2020,1930741081,7/20/2020 0:00,00:00.0,7/21/2020 0:00,NAA8,7524.17,0-15
113,U001,200424504,M  in,19:17.4,2020,1930830032,7/21/2020 0:00,00:00.0,7/22/2020 0:00,NACG,2428.04,0-15
114,U001,100031704,DELHAIZE trust,52:55.3,2020,1930794735,7/22/2020 0:00,00:00.0,7/23/2020 0:00,NAGD,1176.59,
115,U001,200764795,SYSCO  us,33:05.0,2020,1930637455,7/23/2020 0:00,00:00.0,7/24/2020 0:00,NA32,10978.51,0-15
116,U001,200337148,COAS systems,13:37.0,2020,1930587342,7/24/2020 0:00,00:00.0,7/25/2020 0:00,NAA8,45127.79,0-15
117,U001,200416837,DEC llc,39:55.1,2020,1930599382,7/25/2020 0:00,00:00.0,7/26/2020 0:00,NAM4,398.16,
118,U001,200769623,WAL-MAR llc,47:10.4,2020,1930623646,7/26/2020 0:00,00:00.0,7/27/2020 0:00,NAH4,58726.21,0-15
119,U001,200726979,BJ'S  associates,35:49.1,2020,1930645815,7/27/2020 0:00,00:00.0,7/28/2020 0:00,NAA8,588.49,0-15
120,U001,200721222,GO us,08:35.6,2020,1930800642,7/28/2020 0:00,00:00.0,7/29/2020 0:00,NAA8,25685.07,0-15
121,U001,200772595,SAFEW corporation,36:23.6,2020,1930729101,7/29/2020 0:00,00:00.0,7/30/2020 0:00,NAA8,10020.14,0-15
122,U001,200820380,SMITH'S trust,36:23.7,2020,1930716191,7/30/2020 0:00,00:00.0,7/31/2020 0:00,NAA8,48022.97,0-15
123,U001,200793568,SUPE corporation,58:06.3,2020,1930779652,7/31/2020 0:00,00:00.0,8/1/2020 0:00,NAA8,36623.03,0-15
124,U001,200706844,WINC corp,28:13.6,2020,1930732708,8/1/2020 0:00,00:00.0,8/2/2020 0:00,NAA8,22644.53,0-15
125,U001,100043975,JAVA co,32:52.1,2020,1930586661,8/2/2020 0:00,00:00.0,8/3/2020 0:00,NAA8,7212,0-15
126,U001,200769623,WAL-MAR llc,31:26.6,2020,1930692548,8/3/2020 0:00,00:00.0,8/4/2020 0:00,NAH4,15797.23,0-15
127,U001,200762301,C&S WH in,49:21.6,2020,1930630515,8/4/2020 0:00,00:00.0,8/5/2020 0:00,NAC6,2018.45,0-15
128,U001,200769623,WAL-MAR foundation,52:45.1,2020,1930593446,8/5/2020 0:00,00:00.0,8/6/2020 0:00,NAH4,14706.98,0-15
129,U001,200729290,KROGER ,33:06.1,2020,1930599215,8/6/2020 0:00,00:00.0,8/7/2020 0:00,NAA8,115494.14,0-15
130,U001,200769623,WAL-MAR us,48:35.7,2020,1930827122,8/7/2020 0:00,00:00.0,8/8/2020 0:00,NAH4,1898.9,0-15
131,U001,200769623,WAL-MAR us,59:46.7,2020,1930750644,8/8/2020 0:00,00:00.0,8/9/2020 0:00,NAH4,37684.36,0-15
132,U001,200705372,FR corporation,03:24.9,2020,1930637990,8/9/2020 0:00,00:00.0,8/10/2020 0:00,NAA8,19961.05,0-15
133,U001,200769623,WAL-MAR llc,47:39.2,2020,1930675431,8/10/2020 0:00,00:00.0,8/11/2020 0:00,NAH4,11826.09,0-15
134,U001,200742791,QUI in,45:21.8,2020,1930603823,8/11/2020 0:00,00:00.0,8/12/2020 0:00,NAA8,24843.48,0-15
135,U001,200743996,STATER  corporation,42:56.0,2020,1930718352,8/12/2020 0:00,00:00.0,8/13/2020 0:00,NAA8,32224.05,0-15
136,U001,200769623,WAL-MAR us,33:54.0,2020,1930752522,8/13/2020 0:00,00:00.0,8/14/2020 0:00,NAH4,9937.06,0-15
137,U001,200759878,SA corporation,10:14.2,2020,1930752430,8/14/2020 0:00,00:00.0,8/15/2020 0:00,NAH4,12417.47,0-15
138,U001,200762301,C&S WH us,32:14.5,2020,1930584581,8/15/2020 0:00,00:00.0,8/16/2020 0:00,NAC6,4301.57,0-15
139,U001,200769623,WAL-MAR ,19:31.8,2020,1930885637,8/16/2020 0:00,00:00.0,8/17/2020 0:00,NAH4,22549.83,0-15
140,U001,100043936,PAPA JO foundation,44:38.3,2020,1930627707,8/17/2020 0:00,00:00.0,8/18/2020 0:00,NA10,18145.19,
141,U001,200744019,TARG co,40:37.3,2020,1930748869,8/18/2020 0:00,00:00.0,8/19/2020 0:00,NAA8,97776,0-15
142,U001,200794332,COST ,39:16.0,2020,1930720706,8/19/2020 0:00,00:00.0,8/20/2020 0:00,NAAX,31599.18,0-15
143,U001,200740393,LABAT ,15:32.1,2020,1930585380,8/20/2020 0:00,00:00.0,8/21/2020 0:00,NAA8,52645.42,0-15
144,U001,200769623,WAL-MAR systems,00:50.0,2020,1930671465,8/21/2020 0:00,00:00.0,8/22/2020 0:00,NAH4,21113.92,0-15
145,U001,200762301,C&S WH co,05:30.3,2020,1930577119,8/22/2020 0:00,00:00.0,8/23/2020 0:00,NAC6,137768.6,0-15
146,U001,200759878,SA in,10:14.2,2020,1930748365,8/23/2020 0:00,00:00.0,8/24/2020 0:00,NAH4,13548.66,0-15
147,U001,200759878,SA corporation,07:38.2,2020,1930825574,8/24/2020 0:00,00:00.0,8/25/2020 0:00,NAH4,35898.48,0-15
148,U001,200704858,WAKE llc,31:55.4,2020,1930655118,8/25/2020 0:00,00:00.0,8/26/2020 0:00,NAA8,109248.63,0-15
149,U001,200762301,C&S WH foundation,57:05.7,2020,1930654407,8/26/2020 0:00,00:00.0,8/27/2020 0:00,NAC6,7465.1,0-15
150,U001,200803720,DEC corporation,25:26.5,2020,1930872721,8/27/2020 0:00,00:00.0,8/28/2020 0:00,NAM2,4729.18,
151,U001,200078795,H T H llc,41:36.6,2020,1930861108,8/28/2020 0:00,00:00.0,8/29/2020 0:00,NAA8,1412.26,0-15
152,U001,200519201,KROGE llc,18:57.5,2020,1930709582,8/29/2020 0:00,00:00.0,8/30/2020 0:00,NAA8,15477.22,0-15
153,U001,200744019,TARG corp,30:28.3,2020,1930753198,8/30/2020 0:00,00:00.0,8/31/2020 0:00,NAA8,19195.56,0-15
154,U001,200786288,FAMILY in,56:25.9,2020,1930759958,8/31/2020 0:00,00:00.0,9/1/2020 0:00,NAC6,66230.48,0-15
155,U001,200418007,AM systems,07:39.5,2020,1930732102,9/1/2020 0:00,00:00.0,9/2/2020 0:00,NAA8,47393.05,16-30
156,U001,200466603,SMITH'S systems,12:47.9,2020,1930664246,9/2/2020 0:00,00:00.0,9/3/2020 0:00,NAA8,142732.08,0-15
157,CA02,140106408,WAL-M associates,01:04.5,2020,2960622798,9/3/2020 0:00,00:00.0,9/4/2020 0:00,CA10,5791.485,0-15
158,U001,200762301,C&S WH in,54:33.7,2020,1930721389,9/4/2020 0:00,00:00.0,9/5/2020 0:00,NAGD,7943.13,0-15
159,U001,200761734,H E BUT associates,20:37.2,2020,1930632938,9/5/2020 0:00,00:00.0,9/6/2020 0:00,NAA8,91756.55,
160,U001,200769623,WAL-MAR foundation,52:45.1,2020,1930611981,9/6/2020 0:00,00:00.0,9/7/2020 0:00,NAH4,24282.42,0-15
161,U001,200769623,WAL-MAR llc,42:32.5,2020,1930793187,9/7/2020 0:00,00:00.0,9/8/2020 0:00,NAH4,10903.6,0-15
162,U001,200769623,WAL-MAR us,38:54.8,2020,1930692727,9/8/2020 0:00,00:00.0,9/9/2020 0:00,NAH4,51516.27,0-15
163,U001,200744019,TARG us,31:29.2,2020,1930813045,9/9/2020 0:00,00:00.0,9/10/2020 0:00,NAA8,5887.21,0-15
164,U001,200726979,BJ'S  systems,56:56.3,2020,1930643416,9/10/2020 0:00,00:00.0,9/11/2020 0:00,NAA8,14149.02,0-15
165,U001,200706844,WINC co,28:40.7,2020,1930760026,9/11/2020 0:00,00:00.0,9/12/2020 0:00,NAA8,38905.5,0-15
166,U001,200418007,AM us,05:32.7,2020,1930650673,9/12/2020 0:00,00:00.0,9/13/2020 0:00,NAGD,1011.24,0-15
167,U001,200799367,MCL in,37:48.0,2020,1930720975,9/13/2020 0:00,00:00.0,9/14/2020 0:00,NAA8,124605.44,0-15
168,U001,200772595,SAFEW corporation,52:50.2,2020,1930705040,9/14/2020 0:00,00:00.0,9/15/2020 0:00,NAA8,32039.34,0-15
169,U001,200759878,SA llc,05:40.1,2020,1930700242,9/15/2020 0:00,00:00.0,9/16/2020 0:00,NAH4,50054.82,0-15
170,U001,CCU013,KRAFT F in,12:13.7,2020,1930570370,9/16/2020 0:00,00:00.0,9/17/2020 0:00,NAX2,37209.64,31-45
171,U001,200726979,BJ'S  in,13:34.9,2020,1930629390,9/17/2020 0:00,00:00.0,9/18/2020 0:00,NAA8,467.72,0-15
172,U001,200526831,PERISH associates,34:32.2,2020,1930666168,9/18/2020 0:00,00:00.0,9/19/2020 0:00,NAA8,134095.09,0-15
173,U001,200769623,WAL-MAR llc,13:21.0,2020,1930845835,9/19/2020 0:00,00:00.0,9/20/2020 0:00,NAH4,292.94,0-15
174,U001,100031704,DELHAIZE corp,13:37.4,2020,1930844129,9/20/2020 0:00,00:00.0,9/21/2020 0:00,NAA8,92271.69,0-15
175,U001,200769623,WAL-MAR in,29:16.6,2020,1930662779,9/21/2020 0:00,00:00.0,9/22/2020 0:00,NAH4,35023.47,0-15
176,U001,200020431,DEC systems,45:33.2,2020,1930599834,9/22/2020 0:00,00:00.0,9/23/2020 0:00,NAM4,4551.58,
177,U001,200726979,BJ'S  ,16:41.4,2020,1930730591,9/23/2020 0:00,00:00.0,9/24/2020 0:00,NAA8,261.84,0-15
178,U001,200769623,WAL-MAR foundation,30:43.8,2020,1930652678,9/24/2020 0:00,00:00.0,9/25/2020 0:00,NAH4,33837.66,0-15
179,U001,200729942,SA ,39:33.8,2020,1930798198,9/25/2020 0:00,00:00.0,9/26/2020 0:00,NAA8,11696.53,0-15
180,U001,200705742,DOT systems,55:00.3,2020,1930810367,9/26/2020 0:00,00:00.0,9/27/2020 0:00,NAA8,8115.04,
181,U001,200777735,NASH  co,22:23.3,2020,1930670844,9/27/2020 0:00,00:00.0,9/28/2020 0:00,NAA8,152067.79,
182,U001,200020431,DEC us,45:33.2,2020,1930617742,9/28/2020 0:00,00:00.0,9/29/2020 0:00,NAM4,3117.84,
183,U001,200769623,WAL-MAR corp,03:55.2,2020,1930748572,9/29/2020 0:00,00:00.0,9/30/2020 0:00,NAH4,1898.2,0-15
184,U001,200759878,SA systems,52:08.2,2020,1930655535,9/30/2020 0:00,00:00.0,10/1/2020 0:00,NAH4,17060.17,0-15
185,U001,100004536,BAS ,55:00.4,2020,1930765834,10/1/2020 0:00,00:00.0,10/2/2020 0:00,NAA8,3745.49,
186,U001,200769623,WAL-MAR corporation,16:05.1,2020,1930882579,10/2/2020 0:00,00:00.0,10/3/2020 0:00,NAH4,9163.34,0-15
187,CA02,140104409,LOB in,28:33.9,2020,2960624271,10/3/2020 0:00,00:00.0,10/4/2020 0:00,CA10,166894.252,0-15
188,U001,200744019,TARG co,22:40.5,2020,1930652649,10/4/2020 0:00,00:00.0,10/5/2020 0:00,NAA8,1183.45,0-15
189,U001,200769623,WAL-MAR systems,36:45.8,2020,1930803693,10/5/2020 0:00,00:00.0,10/6/2020 0:00,NAH4,53859.97,0-15
190,CA02,140104423,METRO  corp,28:08.7,2020,2960624752,10/6/2020 0:00,00:00.0,10/7/2020 0:00,CA10,32025.364,0-15
